,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date
0,RT @BNPB_Indonesia: Gunungapi Tangkuban Parahu merupakan gunung api aktif yg berada di wilayah administrasi Kabupaten Bandung Barat  Kabupa…,Beby 🖤,665,291,Indonesia,False,0,11,2019-07-27 17:57:28
1,"RT @Antara_Jabar: Ketua DPRD&amp;amp;nbsp;Jabar, Ineu&amp;amp;nbsp;Purwadewi&amp;amp;nbsp;meminta warga untuk tetap waspada dan mematuhi segala instruk…",Set DPRD Prov. Jabar,10408,10318,"Kota Bandung, Jawa Barat",False,0,1,2019-07-27 17:01:46
2,"RT @AdriellSakhi: Stay save ya yang di sana Erupsi gunung tangkuban parahu
#tangkubanparahu
#bandung
#jawabarat
#erupsi https://t.co/h7py54…",Cherry O. Ainsley,324,10,,False,0,1,2019-07-27 17:01:41
3,"RT @IneuPurwadewiS: Ketua DPRD Jabar, Ineu Purwadewi meminta warga untuk tetap waspada dan mematuhi segala instruksi yang diberikan terkait…",Set DPRD Prov. Jabar,10408,10318,"Kota Bandung, Jawa Barat",False,0,6,2019-07-27 17:01:09
4,Kondisi Gunung Tangkuban Parahu Pasca Erupsi https://t.co/BuiF5WbSk4,Tempo News Room,650772,714397,Indonesia,True,1,1,2019-07-27 17:00:30
5,RT @korantempo: Kondisi Gunung Tangkuban Parahu Pasca Erupsi https://t.co/Mfqwy8D8Ld,Seneng Ngopi,252,102,Indonesia,False,0,2,2019-07-27 16:48:54
6,RT @korantempo: Kondisi Gunung Tangkuban Parahu Pasca Erupsi https://t.co/Mfqwy8D8Ld,Yuu D Hermawan,80079,207,Klaten Indonesia,False,0,2,2019-07-27 16:47:52
7,Kondisi Gunung Tangkuban Parahu Pasca Erupsi https://t.co/Mfqwy8D8Ld,Koran Tempo,561423,1690485,Indonesia,True,7,2,2019-07-27 16:45:44
8,Pasca erupsi Gunung Tangkuban Parahu saat ini masih tertutup abu vulkanik setebal 5 cm https://t.co/Nq9CRjpmws,TEMPO.CO,707257,1554854,Indonesia,True,4,1,2019-07-27 16:35:42
9,"RT @agvifirdaus: Kucing yang berhasil diselamatkan pasca erupsi Kawah Ratu di Gunung Tangkuban Parahu, Subang, Jawa Barat, Indonesia, Sabtu…",Pemuda Idangan,4317,344,"Bandung, Jawa Barat",False,0,1,2019-07-27 16:30:27
10,"Pasca Gunung Tangkuban Parahu Erupsi, Wisata Tutup 3 Hari dan Petugas Bersihkan Abu Vulkanik https://t.co/Lh13ap4Rm2 via @TribunTravel",TRIBUNnews.com,587819,768154,Indonesia,False,3,3,2019-07-27 16:20:19
11,Pasca Erupsi Gunung Tangkuban Parahu Kawasan Wisata Lembang Tetap Buka https://t.co/JThNurCez7,Tukang Nyindir,45730,37347,"DKI Jakarta, Indonesia",False,0,0,2019-07-27 16:16:07
12,Pasca Erupsi Gunung Tangkuban Parahu Kawasan Wisata Lembang Tetap Buka https://t.co/mcnTKJLnOT,Berita Kebonarum,6214,89,,False,0,0,2019-07-27 16:16:07
13,Pasca Erupsi Gunung Tangkuban Parahu Kawasan Wisata Lembang Tetap Buka https://t.co/frfvxKMHXe,berita seyegen,7628,63,,False,0,0,2019-07-27 16:16:07
14,Pasca Erupsi Gunung Tangkuban Parahu Kawasan Wisata Lembang Tetap Buka https://t.co/fFEZ4QFdTo,Info Kebumen,6216,152,,False,0,0,2019-07-27 16:16:07
15,Pasca Erupsi Gunung Tangkuban Parahu Kawasan Wisata Lembang Tetap Buka https://t.co/j0HlgEE4lq,Tukang Nyinyir,10272,25819,"DKI Jakarta, Indonesia",False,0,0,2019-07-27 16:16:07
16,RT @BNPB_Indonesia: Gunungapi Tangkuban Parahu merupakan gunung api aktif yg berada di wilayah administrasi Kabupaten Bandung Barat  Kabupa…,Padang Ekspres,10769,24480,Graha Pena Padang,False,0,11,2019-07-27 16:10:30
17,"RT @kompascom: 8 Fakta Gunung Tangkuban Parahu, dari Sangkuriang hingga Erupsi Purba https://t.co/771kF3MXHQ https://t.co/l0ZR6wGr1t",Fitria Ayuti,417,82,Bandarlampung,False,0,6,2019-07-27 16:00:29
18,"Kucing yang berhasil diselamatkan pasca erupsi Kawah Ratu di Gunung Tangkuban Parahu, Subang, Jawa Barat, Indonesia… https://t.co/5I0swPKxcR",Agvi Firdaus,82023,771,Crossroad,False,1,1,2019-07-27 15:47:44
19,"RT @NEZTAUTV: #NEZTBreakingNews
📍The East Kuningan, Gunung Tangkuban Parahu Bandung.
July, 27th 2019.
BREAKING NEWS: Gunung Tangkuban Parah…",Keanu J. Handarto.,1428,63,JAKARTA - BANDUNG,False,0,15,2019-07-27 15:39:41
20,"Tangkuban Parahu Erupsi, Wilayah Lembang Tertutup Kabut Pekat: Kabut pekat terjadi di wilayah Lembang, Kabupaten Ba… https://t.co/kVHkyidirN",Hublaa Network,2087,51651,Jakarta Capital Region,False,0,0,2019-07-27 15:23:38
21,BMKG: Erupsi Gunung Tangkuban Parahu Tidak Picu Aktivitas Sesar Lembang https://t.co/UplPC4xJPG,galamedianews.com,276184,12841,"Bandung, Indonesia",False,0,0,2019-07-27 15:17:37
22,"8 Fakta Gunung Tangkuban Parahu, dari Sangkuriang hingga Erupsi Purba https://t.co/jEwEv1jiHw",Halo Backpacker,33894,475,world,False,0,0,2019-07-27 15:10:38
